gamma,reward_ratio,method,k,budget,n,auc,final_success,solved,mean_capped_first90,shortest_length,terminal_reward,optimal_discounted_return,zero_above_optimal_return
0.98,8,hand_replay,12,200000,12,0.4110416666666666,1.0,12,118583.33333333333,133,10.64,0.27397544444925676,False
0.98,8,immediate_skill,4,50000,12,0.9474999999999998,1.0,12,3250.0,37,2.96,1.171917423591779,False
0.98,8,immediate_skill,4,100000,12,0.9737499999999999,1.0,12,3250.0,37,2.96,1.171917423591779,False
0.98,8,immediate_skill,4,200000,12,0.9868750000000001,1.0,12,3250.0,37,2.96,1.171917423591779,False
0.98,8,immediate_skill,12,50000,12,0.8716666666666667,1.0,12,7333.333333333333,133,10.64,0.27397544444925676,False
0.98,8,immediate_skill,12,100000,12,0.9358333333333334,1.0,12,7333.333333333333,133,10.64,0.27397544444925676,False
0.98,8,immediate_skill,12,200000,12,0.9679166666666666,1.0,12,7333.333333333333,133,10.64,0.27397544444925676,False
0.99,0.5,history_replay,4,50000,12,0.7883333333333336,1.0,12,11333.333333333334,37,0.185,-0.17475033661125516,True
0.99,0.5,history_replay,4,100000,12,0.8941666666666667,1.0,12,11333.333333333334,37,0.185,-0.17475033661125516,True
0.99,0.5,history_replay,4,200000,12,0.9470833333333334,1.0,12,11333.333333333334,37,0.185,-0.17475033661125516,True
0.99,0.5,history_replay,12,50000,12,0.0,0.0,0,50000.0,133,0.665,-0.55816519417007,True
0.99,0.5,history_replay,12,100000,12,0.0,0.0,0,100000.0,133,0.665,-0.55816519417007,True
0.99,0.5,history_replay,12,200000,12,0.025624999999999995,0.9166666666666666,10,197833.33333333334,133,0.665,-0.55816519417007,True
0.99,0.5,hand_replay,4,50000,12,0.8108333333333335,1.0,12,10166.666666666666,37,0.185,-0.17475033661125516,True
0.99,0.5,hand_replay,4,100000,12,0.9054166666666665,1.0,12,10166.666666666666,37,0.185,-0.17475033661125516,True
0.99,0.5,hand_replay,4,200000,12,0.9527083333333334,1.0,12,10166.666666666666,37,0.185,-0.17475033661125516,True
0.99,0.5,hand_replay,12,50000,12,0.0,0.0,0,50000.0,133,0.665,-0.55816519417007,True
0.99,0.5,hand_replay,12,100000,12,0.0,0.0,0,100000.0,133,0.665,-0.55816519417007,True
0.99,0.5,hand_replay,12,200000,12,0.3897916666666667,1.0,12,122666.66666666667,133,0.665,-0.55816519417007,True
0.99,0.5,immediate_skill,4,50000,12,0.9483333333333331,1.0,12,3166.6666666666665,37,0.185,-0.17475033661125516,True
0.99,0.5,immediate_skill,4,100000,12,0.9741666666666666,1.0,12,3166.6666666666665,37,0.185,-0.17475033661125516,True
0.99,0.5,immediate_skill,4,200000,12,0.9870833333333335,1.0,12,3166.6666666666665,37,0.185,-0.17475033661125516,True
0.99,0.5,immediate_skill,12,50000,12,0.8733333333333334,1.0,12,7333.333333333333,133,0.665,-0.55816519417007,True
0.99,0.5,immediate_skill,12,100000,12,0.9366666666666666,1.0,12,7333.333333333333,133,0.665,-0.55816519417007,True
0.99,0.5,immediate_skill,12,200000,12,0.9683333333333334,1.0,12,7333.333333333333,133,0.665,-0.55816519417007,True
0.99,2,history_replay,4,50000,12,0.8000000000000002,1.0,12,10916.666666666666,37,0.74,0.21175899940625814,False
