condition,variant,k,n,mean_capped_first90,ci_low,ci_high,median_capped_first90,solved,stable_solved,mean_capped_stable90,auc,final_success,final90,updates_per_step
tight,progressive_qrm_fastgate,4,12,9916.666666666666,7250.0,12752.083333333303,9000.0,12,12,9916.666666666666,0.8430555555556668,1.0,12,3.8201402777777775
tight,progressive_qrm_fastgate,8,12,14916.666666666666,11500.0,18833.333333333332,14000.0,12,12,15083.333333333334,0.7583333333333333,1.0,12,7.368955555555556
tight,oracle_qrm,4,12,3666.6666666666665,3083.3333333333335,4166.666666666667,4000.0,12,12,3666.6666666666665,0.9472222222223333,1.0,12,4.0
tight,oracle_qrm,8,12,4583.333333333333,3916.6666666666665,5166.666666666667,5000.0,12,12,4583.333333333333,0.9319444444444168,1.0,12,8.0
noisy_tight,count_e0.05,4,12,35666.666666666664,22583.333333333332,48500.0,38000.0,6,6,35666.666666666664,0.6305933431523617,0.8146595133700084,6,1.0
noisy_tight,count_e0.05,8,12,33250.0,24333.333333333332,42916.666666666664,30000.0,9,9,33416.666666666664,0.4778436877285413,0.8345629910464357,9,1.0
noisy_tight,count_e0.2,4,12,33916.666666666664,21000.0,47000.0,27000.0,7,7,34083.333333333336,0.5175231318606239,0.7876199913638383,7,1.0
noisy_tight,count_e0.2,8,12,44666.666666666664,33747.916666666664,54833.333333333336,60000.0,5,5,44666.666666666664,0.266664806630686,0.50105333593987,4,1.0
noisy_tight,count_e0.5,4,12,50166.666666666664,39416.666666666664,60000.0,60000.0,3,3,50166.666666666664,0.17409690861648228,0.2621380424548845,3,1.0
noisy_tight,count_e0.5,8,12,58583.333333333336,55750.0,60000.0,60000.0,1,1,58583.333333333336,0.02956384048194981,0.08329788754662128,1,1.0
noisy_tight,learned_qrm_e0.05,4,12,32666.666666666668,19000.0,46833.333333333336,29500.0,7,7,32666.666666666668,0.6390751623207166,0.7987059640576416,7,3.7552486111111114
noisy_tight,learned_qrm_e0.05,8,12,29833.333333333332,18916.666666666668,42000.0,23500.0,9,9,31333.333333333332,0.5379273866988535,0.7914946144022137,9,7.2042375000000005
noisy_tight,learned_qrm_e0.2,4,12,32000.0,18497.916666666668,45500.0,21000.0,7,7,32333.333333333332,0.6102202143768735,0.7941134724678269,7,3.643452777777778
noisy_tight,learned_qrm_e0.2,8,12,33833.333333333336,22831.25,45166.666666666664,34500.0,9,9,34333.333333333336,0.4191783611423238,0.7346346613267877,9,6.8033666666666655
noisy_tight,learned_qrm_e0.5,4,12,45083.333333333336,32997.916666666664,56250.0,60000.0,5,5,45083.333333333336,0.26960284716622834,0.39883723894999634,4,3.107538888888888
noisy_tight,learned_qrm_e0.5,8,12,55666.666666666664,48000.0,60000.0,60000.0,2,2,55666.666666666664,0.0924254606388693,0.2161524480808793,2,5.2184083333333335
noisy_tight,progressive_h0.2,4,12,31916.666666666668,18750.0,45583.333333333336,18500.0,7,7,32250.0,0.6364887534334446,0.7707265414470309,6,1.0
noisy_tight,progressive_h0.2,8,12,35916.666666666664,26000.0,46418.74999999997,33000.0,8,8,35916.666666666664,0.4997368587736009,0.8244754986280999,8,1.0
noisy_tight,progressive_h0.5,4,12,32833.333333333336,19750.0,46166.666666666664,23000.0,7,7,33166.666666666664,0.5974649926843892,0.774513285956103,7,1.0
noisy_tight,progressive_h0.5,8,12,34833.333333333336,26416.666666666668,44000.0,32500.0,9,9,34833.333333333336,0.438042076826644,0.7835636132236393,9,1.0
noisy_tight,progressive_h0.8,4,12,47083.333333333336,36000.0,56666.666666666664,60000.0,4,4,47250.0,0.22967249782943264,0.33284041414741034,4,1.0
noisy_tight,progressive_h0.8,8,12,50000.0,42000.0,56833.333333333336,60000.0,5,5,50750.0,0.1789815590542608,0.4141926884228328,5,1.0
noisy_tight,progressive_low0,4,12,32500.0,19333.333333333332,45416.666666666664,21000.0,7,7,32500.0,0.6066515972737293,0.7854913082316943,7,1.0
noisy_tight,progressive_low0,8,12,36750.0,27750.0,46500.0,37000.0,9,9,37083.333333333336,0.4289428471394922,0.7725502964435188,9,1.0
noisy_tight,progressive_fastgate,4,12,32833.333333333336,19750.0,46166.666666666664,23000.0,7,7,33166.666666666664,0.5993431505618058,0.7778446347715197,7,1.0
noisy_tight,progressive_fastgate,8,12,34500.0,25916.666666666668,43918.74999999997,32000.0,9,9,34750.0,0.4397725103741718,0.7892763417801972,9,1.0
noisy_tight,progressive_qrm_h0.2,4,12,33916.666666666664,19750.0,47833.333333333336,36500.0,6,6,33916.666666666664,0.668603961778525,0.8077603332730917,5,3.7919013888888884
noisy_tight,progressive_qrm_h0.2,8,12,33583.333333333336,20914.583333333336,46666.666666666664,23500.0,7,7,33583.333333333336,0.5467302151826515,0.7756779356963904,7,7.236325000000001
noisy_tight,progressive_qrm_h0.5,4,12,31500.0,18333.333333333332,44670.83333333327,17500.0,8,7,31583.333333333332,0.6093271436858966,0.7734954138561948,7,3.6405708333333333
noisy_tight,progressive_qrm_h0.5,8,12,31333.333333333332,20083.333333333332,43250.0,22500.0,8,8,31500.0,0.5225447916604825,0.6740995048578791,7,6.963252777777778
noisy_tight,progressive_qrm_h0.8,4,12,44916.666666666664,33333.333333333336,55500.0,60000.0,5,5,44916.666666666664,0.26330687541784,0.414218300263981,5,2.985829166666667
noisy_tight,progressive_qrm_h0.8,8,12,46833.333333333336,36914.58333333333,56000.0,60000.0,5,5,46833.333333333336,0.23374002957046727,0.43880300091430974,5,5.727631944444444
noisy_tight,progressive_qrm_low0,4,12,36333.333333333336,22414.583333333336,50083.333333333336,44000.0,6,6,38333.333333333336,0.6181467497351146,0.7208351122678128,5,3.6582638888888894
noisy_tight,progressive_qrm_low0,8,12,31000.0,19583.333333333332,43083.333333333336,24000.0,8,8,31000.0,0.5240172319666874,0.7591773479144939,8,7.047833333333333
noisy_tight,progressive_qrm_fastgate,4,12,31250.0,17916.666666666668,44585.416666666635,17500.0,8,7,31583.333333333332,0.6066203956933965,0.773750818995528,7,3.6456375
noisy_tight,progressive_qrm_fastgate,8,12,31000.0,19500.0,43083.333333333336,22500.0,8,8,31000.0,0.5282705394866231,0.6799107730830215,7,7.095020833333334
noisy_tight,oracle_qrm,4,12,25166.666666666668,11333.333333333334,39583.333333333336,6500.0,9,7,27666.666666666668,0.7745954130724999,0.8239585690397501,6,4.0
noisy_tight,oracle_qrm,8,12,22083.333333333332,10000.0,35583.333333333336,8000.0,9,9,22083.333333333332,0.7348079577338332,0.7338362232661666,8,8.0
