condition,k,seed,shortest_steps,horizon,optimal_success_bound,threshold90_feasible
benign,16,102,156,384,1.0,True
benign,16,103,112,384,1.0,True
benign,16,104,136,384,1.0,True
benign,16,105,128,384,1.0,True
benign,16,106,156,384,1.0,True
benign,16,107,164,384,1.0,True
benign,16,108,116,384,1.0,True
benign,16,109,132,384,1.0,True
benign,16,110,136,384,1.0,True
benign,16,111,128,384,1.0,True
benign,16,112,116,384,1.0,True
benign,16,113,128,384,1.0,True
benign,16,114,136,384,1.0,True
benign,16,115,132,384,1.0,True
benign,16,116,128,384,1.0,True
benign,16,117,144,384,1.0,True
benign,16,118,148,384,1.0,True
benign,16,119,148,384,1.0,True
benign,16,120,152,384,1.0,True
benign,16,121,144,384,1.0,True
benign,16,122,140,384,1.0,True
benign,16,123,148,384,1.0,True
benign,16,124,124,384,1.0,True
benign,16,125,120,384,1.0,True
benign,16,126,144,384,1.0,True
benign,16,127,144,384,1.0,True
benign,16,128,128,384,1.0,True
benign,16,129,120,384,1.0,True
benign,16,130,128,384,1.0,True
benign,16,131,168,384,1.0,True
deadline,2,100,16,32,1.0,True
deadline,2,101,16,32,1.0,True
deadline,2,102,12,32,1.0,True
deadline,2,103,16,32,1.0,True
deadline,2,104,20,32,1.0,True
deadline,2,105,20,32,1.0,True
deadline,2,106,24,32,1.0,True
deadline,2,107,24,32,1.0,True
deadline,2,108,16,32,1.0,True
deadline,2,109,16,32,1.0,True
deadline,2,110,12,32,1.0,True
deadline,2,111,12,32,1.0,True
deadline,2,112,8,32,1.0,True
deadline,2,113,20,32,1.0,True
deadline,2,114,8,32,1.0,True
deadline,2,115,12,32,1.0,True
deadline,2,116,16,32,1.0,True
deadline,2,117,16,32,1.0,True
deadline,2,118,12,32,1.0,True
deadline,2,119,12,32,1.0,True
deadline,2,120,20,32,1.0,True
deadline,2,121,24,32,1.0,True
deadline,2,122,16,32,1.0,True
deadline,2,123,24,32,1.0,True
deadline,2,124,8,32,1.0,True
deadline,2,125,16,32,1.0,True
deadline,2,126,12,32,1.0,True
deadline,2,127,12,32,1.0,True
deadline,2,128,16,32,1.0,True
deadline,2,129,12,32,1.0,True
deadline,2,130,20,32,1.0,True
deadline,2,131,16,32,1.0,True
deadline,4,100,28,64,1.0,True
deadline,4,101,36,64,1.0,True
deadline,4,102,24,64,1.0,True
deadline,4,103,28,64,1.0,True
deadline,4,104,44,64,1.0,True
deadline,4,105,36,64,1.0,True
deadline,4,106,44,64,1.0,True
deadline,4,107,52,64,1.0,True
deadline,4,108,24,64,1.0,True
deadline,4,109,32,64,1.0,True
deadline,4,110,28,64,1.0,True
deadline,4,111,24,64,1.0,True
deadline,4,112,28,64,1.0,True
deadline,4,113,36,64,1.0,True
deadline,4,114,32,64,1.0,True
deadline,4,115,28,64,1.0,True
deadline,4,116,28,64,1.0,True
deadline,4,117,40,64,1.0,True
deadline,4,118,40,64,1.0,True
deadline,4,119,36,64,1.0,True
deadline,4,120,44,64,1.0,True
deadline,4,121,36,64,1.0,True
deadline,4,122,28,64,1.0,True
deadline,4,123,44,64,1.0,True
deadline,4,124,24,64,1.0,True
deadline,4,125,36,64,1.0,True
deadline,4,126,40,64,1.0,True
deadline,4,127,32,64,1.0,True
deadline,4,128,36,64,1.0,True
deadline,4,129,36,64,1.0,True
deadline,4,130,36,64,1.0,True
deadline,4,131,36,64,1.0,True
deadline,6,100,44,96,1.0,True
deadline,6,101,56,96,1.0,True
deadline,6,102,48,96,1.0,True
deadline,6,103,44,96,1.0,True
deadline,6,104,60,96,1.0,True
deadline,6,105,56,96,1.0,True
deadline,6,106,68,96,1.0,True
deadline,6,107,68,96,1.0,True
deadline,6,108,40,96,1.0,True
deadline,6,109,44,96,1.0,True
deadline,6,110,44,96,1.0,True
deadline,6,111,48,96,1.0,True
deadline,6,112,44,96,1.0,True
deadline,6,113,48,96,1.0,True
deadline,6,114,44,96,1.0,True
deadline,6,115,44,96,1.0,True
deadline,6,116,44,96,1.0,True
deadline,6,117,52,96,1.0,True
deadline,6,118,56,96,1.0,True
deadline,6,119,56,96,1.0,True
deadline,6,120,60,96,1.0,True
deadline,6,121,48,96,1.0,True
deadline,6,122,48,96,1.0,True
deadline,6,123,60,96,1.0,True
deadline,6,124,48,96,1.0,True
deadline,6,125,48,96,1.0,True
deadline,6,126,60,96,1.0,True
deadline,6,127,56,96,1.0,True
deadline,6,128,48,96,1.0,True
deadline,6,129,52,96,1.0,True
deadline,6,130,56,96,1.0,True
deadline,6,131,64,96,1.0,True
deadline,8,100,60,128,1.0,True
deadline,8,101,76,128,1.0,True
deadline,8,102,72,128,1.0,True
deadline,8,103,52,128,1.0,True
deadline,8,104,72,128,1.0,True
deadline,8,105,76,128,1.0,True
deadline,8,106,88,128,1.0,True
deadline,8,107,88,128,1.0,True
deadline,8,108,60,128,1.0,True
deadline,8,109,56,128,1.0,True
deadline,8,110,56,128,1.0,True
deadline,8,111,64,128,1.0,True
deadline,8,112,60,128,1.0,True
deadline,8,113,60,128,1.0,True
deadline,8,114,64,128,1.0,True
deadline,8,115,68,128,1.0,True
deadline,8,116,64,128,1.0,True
deadline,8,117,72,128,1.0,True
deadline,8,118,72,128,1.0,True
deadline,8,119,72,128,1.0,True
deadline,8,120,76,128,1.0,True
deadline,8,121,64,128,1.0,True
deadline,8,122,80,128,1.0,True
deadline,8,123,72,128,1.0,True
deadline,8,124,60,128,1.0,True
deadline,8,125,72,128,1.0,True
deadline,8,126,72,128,1.0,True
deadline,8,127,80,128,1.0,True
deadline,8,128,64,128,1.0,True
deadline,8,129,72,128,1.0,True
deadline,8,130,68,128,1.0,True
deadline,8,131,88,128,1.0,True
deadline,12,100,84,192,1.0,True
deadline,12,101,124,192,1.0,True
deadline,12,102,120,192,1.0,True
deadline,12,103,76,192,1.0,True
deadline,12,104,104,192,1.0,True
deadline,12,105,104,192,1.0,True
deadline,12,106,116,192,1.0,True
deadline,12,107,124,192,1.0,True
deadline,12,108,84,192,1.0,True
deadline,12,109,92,192,1.0,True
deadline,12,110,100,192,1.0,True
deadline,12,111,100,192,1.0,True
deadline,12,112,84,192,1.0,True
deadline,12,113,92,192,1.0,True
deadline,12,114,100,192,1.0,True
deadline,12,115,104,192,1.0,True
deadline,12,116,108,192,1.0,True
deadline,12,117,108,192,1.0,True
deadline,12,118,116,192,1.0,True
deadline,12,119,116,192,1.0,True
deadline,12,120,112,192,1.0,True
deadline,12,121,116,192,1.0,True
deadline,12,122,112,192,1.0,True
deadline,12,123,108,192,1.0,True
deadline,12,124,80,192,1.0,True
deadline,12,125,96,192,1.0,True
deadline,12,126,120,192,1.0,True
deadline,12,127,112,192,1.0,True
deadline,12,128,96,192,1.0,True
deadline,12,129,100,192,1.0,True
deadline,12,130,100,192,1.0,True
deadline,12,131,136,192,1.0,True
deadline,16,100,116,256,1.0,True
deadline,16,101,168,256,1.0,True
deadline,16,102,156,256,1.0,True
deadline,16,103,112,256,1.0,True
deadline,16,104,136,256,1.0,True
deadline,16,105,128,256,1.0,True
deadline,16,106,156,256,1.0,True
deadline,16,107,164,256,1.0,True
deadline,16,108,116,256,1.0,True
deadline,16,109,132,256,1.0,True
deadline,16,110,136,256,1.0,True
deadline,16,111,128,256,1.0,True
deadline,16,112,116,256,1.0,True
deadline,16,113,128,256,1.0,True
deadline,16,114,136,256,1.0,True
deadline,16,115,132,256,1.0,True
deadline,16,116,128,256,1.0,True
deadline,16,117,144,256,1.0,True
deadline,16,118,148,256,1.0,True
deadline,16,119,148,256,1.0,True
deadline,16,120,152,256,1.0,True
deadline,16,121,144,256,1.0,True
deadline,16,122,140,256,1.0,True
deadline,16,123,148,256,1.0,True
deadline,16,124,124,256,1.0,True
deadline,16,125,120,256,1.0,True
deadline,16,126,144,256,1.0,True
deadline,16,127,144,256,1.0,True
deadline,16,128,128,256,1.0,True
deadline,16,129,120,256,1.0,True
deadline,16,130,128,256,1.0,True
deadline,16,131,168,256,1.0,True
noisy,2,100,16,40,0.9999045149037131,True
noisy,2,101,16,40,0.9998765338529139,True
noisy,2,102,12,40,0.9999975192091004,True
noisy,2,103,16,40,0.9998765338529139,True
noisy,2,104,20,40,0.9992380488291634,True
noisy,2,105,20,40,0.9992380488291634,True
noisy,2,106,24,40,0.9886430653033572,True
noisy,2,107,24,40,0.9886430653033572,True
noisy,2,108,16,40,0.9999045149037131,True
noisy,2,109,16,40,0.9999045149037131,True
noisy,2,110,12,40,0.9999975192091004,True
noisy,2,111,12,40,0.9999975192091004,True
noisy,2,112,8,40,0.9999998153011695,True
noisy,2,113,20,40,0.9992380488291633,True
noisy,2,114,8,40,0.9999998153011695,True
noisy,2,115,12,40,0.9999963157958316,True
noisy,2,116,16,40,0.9998765338529141,True
