0.0;26
0.0;64
0.0;32
1.0;123
0.0;11
0.0;51
0.0;19
0.0;16
0.0;12
1.0;102
0.0;3
0.0;48
0.0;20
0.0;7
0.0;49
0.0;3
0.0;92
0.0;68
0.0;13
0.0;29
0.0;17
0.0;190
0.0;3
0.0;34
0.0;31
0.0;14
0.0;51
1.0;137
0.0;16
0.0;30
0.0;28
0.0;15
0.0;64
0.0;7
1.0;66
0.0;9
0.0;9
0.0;93
1.0;44
0.0;12
0.0;3
1.0;88
0.0;21
1.0;66
0.0;3
1.0;63
1.0;27
1.0;12
0.0;83
1.0;14
0.0;18
0.0;7
0.0;5
0.0;18
1.0;18
1.0;12
1.0;14
1.0;14
1.0;12
1.0;16
1.0;16
1.0;12
1.0;12
1.0;12
1.0;18
1.0;12
0.0;19
1.0;12
1.0;14
1.0;12
1.0;14
1.0;18
1.0;12
1.0;12
1.0;12
1.0;15
0.0;49
1.0;12
1.0;12
1.0;14
1.0;14
1.0;23
1.0;18
1.0;12
1.0;16
1.0;20
1.0;16
1.0;14
1.0;19
1.0;14
1.0;14
1.0;16
1.0;12
1.0;14
1.0;14
1.0;12
1.0;14
1.0;16
1.0;18
1.0;12
1.0;15
1.0;20
1.0;12
1.0;16
1.0;20
1.0;12
1.0;12
1.0;17
1.0;14
1.0;14
1.0;14
1.0;14
1.0;14
1.0;20
1.0;18
1.0;12
1.0;14
1.0;18
1.0;14
1.0;24
1.0;12
1.0;18
1.0;14
1.0;12
1.0;14
1.0;12
1.0;14
1.0;12
1.0;12
1.0;14
1.0;16
1.0;16
1.0;18
1.0;12
1.0;16
1.0;18
1.0;12
1.0;20
1.0;12
1.0;12
1.0;12
1.0;18
1.0;12
1.0;14
1.0;14
1.0;14
1.0;12
1.0;22
1.0;22
1.0;20
1.0;12
1.0;16
1.0;14
1.0;16
1.0;14
1.0;16
1.0;12
1.0;22
1.0;12
1.0;14
1.0;12
1.0;15
1.0;12
1.0;12
1.0;12
1.0;12
1.0;14
1.0;12
1.0;18
1.0;16
1.0;12
1.0;12
1.0;14
1.0;14
1.0;12
1.0;17
1.0;14
1.0;12
1.0;22
1.0;14
1.0;12
1.0;16
1.0;12
1.0;14
1.0;19
1.0;16
1.0;12
1.0;12
1.0;14
1.0;12
1.0;20
1.0;12
1.0;16
1.0;12
1.0;12
1.0;12
1.0;12
1.0;12
1.0;19
1.0;20
1.0;14
1.0;14
1.0;22
1.0;12
1.0;20
1.0;12
1.0;12
1.0;12
1.0;22
1.0;14
1.0;14
1.0;16
1.0;16
1.0;12
1.0;12
1.0;14
1.0;20
1.0;12
1.0;14
1.0;14
1.0;12
1.0;16
1.0;12
1.0;22
1.0;12
1.0;14
1.0;14
1.0;16
1.0;18
1.0;12
1.0;16
1.0;15
1.0;16
1.0;14
1.0;16
1.0;12
1.0;16
1.0;18
1.0;12
1.0;12
1.0;12
1.0;21
1.0;16
1.0;16
1.0;14
1.0;12
1.0;12
1.0;12
1.0;16
1.0;18
1.0;12
1.0;14
1.0;16
1.0;12
1.0;18
1.0;16
1.0;14
1.0;14
1.0;12
1.0;16
1.0;16
1.0;16
1.0;18
1.0;16
1.0;14
1.0;16
1.0;14
1.0;14
1.0;19
1.0;12
1.0;12
1.0;18
1.0;14
1.0;14
1.0;12
1.0;14
1.0;14
1.0;14
1.0;12
1.0;14
1.0;18
1.0;18
1.0;12
1.0;22
1.0;14
1.0;12
1.0;12
1.0;12
1.0;14
1.0;16
1.0;18
1.0;12
1.0;12
1.0;12
1.0;14
1.0;16
1.0;14
1.0;14
1.0;14
1.0;12
1.0;16
1.0;16
1.0;12
1.0;14
1.0;14
1.0;16
1.0;16
1.0;12
1.0;18
1.0;12
1.0;14
1.0;18
1.0;14
1.0;14
1.0;14
1.0;12
1.0;14
1.0;12
1.0;16
1.0;12
1.0;14
1.0;12
1.0;17
1.0;16
1.0;16
1.0;12
1.0;16
1.0;12
1.0;14
1.0;16
1.0;14
1.0;12
1.0;12
1.0;12
1.0;12
1.0;16
1.0;12
1.0;12
1.0;12
1.0;16
1.0;16
1.0;12
1.0;12
1.0;12
1.0;18
1.0;12
1.0;18
1.0;14
1.0;20
1.0;12
1.0;16
1.0;14
1.0;12
1.0;12
1.0;16
1.0;18
1.0;14
1.0;16
1.0;16
1.0;16
1.0;12
1.0;14
1.0;14
1.0;14
1.0;12
1.0;12
1.0;18
1.0;18
1.0;20
1.0;12
1.0;18
1.0;12
1.0;17
1.0;16
1.0;18
1.0;14
1.0;16
1.0;14
1.0;14
1.0;12
1.0;16
1.0;18
1.0;12
1.0;14
1.0;12
1.0;14
1.0;12
1.0;12
1.0;12
1.0;12
1.0;16
1.0;16
1.0;14
1.0;14
1.0;12
1.0;12
1.0;12
1.0;16
1.0;14
1.0;14
1.0;16
1.0;12
1.0;18
1.0;14
1.0;19
1.0;12
1.0;14
1.0;14
1.0;14
1.0;14
1.0;20
1.0;12
1.0;12
1.0;14
1.0;14
1.0;14
1.0;19
1.0;17
1.0;14
1.0;12
1.0;18
1.0;14
1.0;12
1.0;12
1.0;12
1.0;22
1.0;17
1.0;12
1.0;14
1.0;16
1.0;12
1.0;16
1.0;18
1.0;16
1.0;14
1.0;19
1.0;12
1.0;18
1.0;12
1.0;16
1.0;12
1.0;14
1.0;12
1.0;18
1.0;12
1.0;14
1.0;14
1.0;12
1.0;12
1.0;14
1.0;38
1.0;12
1.0;14
1.0;24
1.0;12
1.0;12
1.0;14
1.0;18
1.0;12
1.0;12
1.0;16
1.0;14
1.0;12
1.0;14
1.0;12
1.0;12
1.0;18
1.0;12
1.0;14
1.0;12
1.0;12
1.0;14
1.0;18
1.0;18
1.0;12
1.0;21
1.0;16
1.0;16
1.0;12
1.0;12
1.0;18
1.0;14
1.0;12
1.0;14
1.0;14
1.0;18
1.0;14
1.0;16
1.0;12
1.0;12
1.0;12
1.0;12
1.0;12
1.0;12
1.0;19
1.0;12
1.0;12
1.0;14
1.0;14
1.0;16
1.0;14
1.0;12
1.0;14
1.0;14
1.0;16
1.0;12
1.0;16
1.0;16
1.0;21
1.0;18
1.0;14
1.0;14
1.0;12
1.0;16
1.0;12
1.0;17
1.0;14
1.0;16
1.0;14
1.0;12
1.0;12
1.0;14
1.0;24
1.0;14
1.0;12
1.0;12
1.0;18
1.0;14
1.0;12
1.0;18
1.0;12
1.0;15
1.0;12
1.0;16
1.0;14
1.0;12
1.0;14
1.0;12
1.0;18
1.0;14
1.0;12
1.0;14
1.0;18
1.0;12
1.0;18
1.0;14
1.0;12
1.0;15
1.0;14
1.0;12
1.0;12
1.0;14
1.0;12
1.0;16
1.0;12
1.0;26
1.0;12
1.0;14
1.0;14
1.0;16
1.0;22
1.0;12
1.0;12
1.0;16
1.0;14
1.0;12
1.0;14
1.0;18
1.0;20
1.0;14
1.0;14
1.0;12
1.0;16
1.0;12
1.0;12
1.0;19
1.0;12
1.0;12
1.0;12
1.0;12
1.0;14
1.0;12
1.0;18
1.0;14
1.0;20
1.0;15
1.0;14
1.0;12
1.0;14
1.0;22
1.0;18
1.0;12
1.0;12
1.0;12
1.0;12
1.0;18
1.0;12
1.0;16
1.0;14
1.0;12
1.0;14
1.0;14
1.0;12
1.0;14
1.0;14
1.0;16
1.0;16
1.0;14
1.0;20
1.0;14
1.0;20
1.0;20
1.0;14
1.0;12
1.0;16
1.0;12
1.0;14
1.0;14
1.0;12
1.0;12
1.0;18
1.0;12
1.0;12
1.0;18
1.0;12
1.0;16
1.0;16
1.0;18
1.0;12
1.0;16
1.0;20
1.0;12
1.0;12
1.0;14
1.0;14
1.0;12
1.0;12
1.0;12
1.0;12
1.0;12
1.0;16
1.0;16
1.0;12
1.0;14
1.0;14
1.0;19
