condition,k,seed,shortest_steps,horizon,optimal_success_bound,threshold90_feasible
deadline,16,221,132,256,1.0,True
deadline,16,222,148,256,1.0,True
deadline,16,223,120,256,1.0,True
deadline,16,224,132,256,1.0,True
deadline,16,225,132,256,1.0,True
deadline,16,226,136,256,1.0,True
deadline,16,227,140,256,1.0,True
deadline,16,228,132,256,1.0,True
deadline,16,229,160,256,1.0,True
deadline,16,230,120,256,1.0,True
deadline,16,231,136,256,1.0,True
noisy,4,200,32,80,0.9999999457715141,True
noisy,4,201,24,80,0.9999999998279756,True
noisy,4,202,36,80,0.9999979629505296,True
noisy,4,203,32,80,0.9999999132455357,True
noisy,4,204,24,80,0.9999999998037066,True
noisy,4,205,32,80,0.9999999139067544,True
noisy,4,206,24,80,0.9999999998279756,True
noisy,4,207,36,80,0.9999995089726518,True
noisy,4,208,28,80,0.9999999947099121,True
noisy,4,209,32,80,0.9999998838873094,True
noisy,4,210,36,80,0.99999892748085,True
noisy,4,211,20,80,0.999999999992723,True
noisy,4,212,32,80,0.9999998940182544,True
noisy,4,213,32,80,0.9999997682768182,True
noisy,4,214,28,80,0.9999999952490535,True
noisy,4,215,36,80,0.9999983577572917,True
noisy,4,216,32,80,0.9999998940182545,True
noisy,4,217,40,80,0.9999750056193996,True
noisy,4,218,40,80,0.9999849401575527,True
noisy,4,219,32,80,0.9999998681377065,True
noisy,4,220,28,80,0.9999999971876304,True
noisy,4,221,28,80,0.999999996328253,True
noisy,4,222,40,80,0.9999750056193997,True
noisy,4,223,24,80,0.9999999995016876,True
noisy,4,224,44,80,0.9998737448317964,True
noisy,4,225,28,80,0.9999999947099121,True
noisy,4,226,28,80,0.9999999947099121,True
noisy,4,227,36,80,0.9999995838881504,True
noisy,4,228,24,80,0.9999999995009532,True
noisy,4,229,40,80,0.9999748509426218,True
noisy,4,230,20,80,0.999999999992723,True
noisy,4,231,32,80,0.9999999132455356,True
noisy,8,200,64,160,0.9999999999999163,True
noisy,8,201,52,160,1.0,True
noisy,8,202,68,160,0.999999999999122,True
noisy,8,203,64,160,0.9999999999998156,True
noisy,8,204,72,160,0.9999999999916129,True
noisy,8,205,56,160,0.9999999999999999,True
noisy,8,206,56,160,1.0,True
noisy,8,207,72,160,0.9999999999945837,True
noisy,8,208,44,160,1.0,True
noisy,8,209,72,160,0.9999999999577278,True
noisy,8,210,72,160,0.9999999999600816,True
noisy,8,211,52,160,1.0,True
noisy,8,212,60,160,0.9999999999999973,True
noisy,8,213,88,160,0.9999997005399398,True
noisy,8,214,60,160,0.9999999999999968,True
