condition,k,baseline,variant,n,cost_delta,delta_low,delta_high,cost_ratio,ratio_low,ratio_high,auc_delta,auc_delta_low,auc_delta_high,wins,ties,losses
h16,4,delayed_e005,immediate_e005,32,-3531.25,-3781.25,-3250.0,0.5349794238683128,0.5137955193416706,0.5601659751037344,0.03656249999999993,0.03390624999999993,0.039062499999999924,32,0,0
h16,8,delayed_e005,immediate_e005,32,-13812.5,-14187.5,-13437.5,0.33433734939759036,0.32190760059612517,0.34690953654188944,0.14265624999999996,0.13906249999999998,0.14624999999999994,32,0,0
h16,12,delayed_e005,immediate_e005,32,-25781.25,-26250.0,-25312.5,0.2801047120418848,0.2690972222222222,0.29130434782608694,0.26484375000000004,0.26046875,0.26921875,32,0,0
h24,4,delayed_e005,immediate_e005,32,-3531.25,-3687.5,-3375.0,0.46445497630331756,0.44954128440366975,0.4807692307692308,0.03562499999999996,0.033906249999999985,0.03718749999999996,32,0,0
h24,8,delayed_e005,immediate_e005,32,-12531.25,-12968.75,-12093.75,0.2902654867256637,0.27526132404181186,0.30590339892665475,0.1275,0.1234375,0.1315625,32,0,0
h24,12,delayed_e005,immediate_e005,32,-22312.5,-22656.25,-21937.5,0.24921135646687698,0.2415966386554622,0.2568710359408034,0.22718750000000007,0.22343750000000007,0.23062500000000002,32,0,0
